View,Name of Firm,Trade Name,unknown,unknown,"Address, line 1",City,State,Zip,Capabilities Narrative
1,General Plastics Manufacturing Co.,,Joseph Nichols,,4910 Burlington Way,Tacoma,WA,98409-2833,"We specialize in developing unique polyurethane, chemistry-based solutions, centered on our signature LAST-A-FOAM® rigid foam and board, and on our flexible foam"
2,"TORCATECH, LLC",,Kenneth Smith,,5210 104TH ST SW,MUKILTEO,WA,98275-4430,Research and development of molecular diagnostic technology
3,"WESSLEN CONSTRUCTION, INC.",,Jerry D Wesslen,,5308 E CATALDO AVE,SPOKANE VALLEY,WA,99212-0929,
4,Cortner Architectural Company,,JAMES  D.  CORTNER,Operations Manager,1903 W 3rd Ave,Spokane,WA,99201-7615,"Architectural services - including but not limited to planning, design, bidding and construction period services. Supplemental services include construction cost estimating, constructability reviews, and project needs analysis."
5,VALENTINE NLL LLC,VALENTINE NLL,Renaldo Valentine,,11219 147th Avenue SE,Renton,WA,98059-4318,Northern Lights Logistics is a Service Disabled Veteran Owned Small Business. Our purpose is to save State Agencies and Federal Agencies thousands of U.S. dollars by partnering with manufactures and suppliers. These partnerships allow us to keep prices low and offer the same value and service most companies pay 25% - 35% more for by going directly to these companies. NLL offers better pricing on office equipment and supplies than Staples contracts and major savings on shipping items from Anchorage to the villages and from the lower 48.
6,PAULEY RODINE INC,AMERICAN MACHINES,RODNEY  NATHAN,Corp. Sect'y,405 S COLUMBUS AVE,GOLDENDALE,WA,98620-9242,"SUPPLY AND SERVICE METAL FABRICATING MACHINERY, MACHINE TOOLS, TURNING & ROLLING MACHINES, CNC. EQUIPMENT, REPAIR PARTS AND MAINTENANCE AGREEMENTS FOR SAME. PUNCHES, DIES & TOOLING CREATIVE WRITING AND DESCRIPTION SERVICE"
7,DIANES TANK REMOVAL SERVICES,,Diane M Kamacho,,18720 SOUND VIEW PL,EDMONDS,WA,98020-2903,"ICC Certified Tank Decommissioner ICC Certified Site Assessor Tank removal, Tank decommissioning services Tank locating services soil remediation services excavation / trucking / hauling"
8,Eltec Systems LLC ,,Jocelyn Canovali,,2025 1st Ave Ste 790,Seattle,WA,98121-2100,"Elevator and escalator contractor who specializes in maintenance and repair of vertical transportation equipment. We also modernize this equipment. We can service all types of elevator and escalator equipment. This includes OTIS, ThyssenKrupp, Fujitec, Schindler, US Elevator."
9,Brown Software Assist LLC,,Jason L Brown,,304 W Pacific Ave Suite 210,Spokane,WA,99201-4320,"Excellent Crystal Reports software training at your site with your data by an experienced and personable instructor. Unique to this training service: your data, more time, do it yourself support, pay per student or per class, and instructor travel is not billed."
10,"Western Safety Products, Inc.",,Neil RADHEHSWAR,PRESIDENT,505 S Lander St,Seattle,WA,98134-1921,"SELLING PROTECTIVE CLOTHING, GLOVES, FIRST AID KITS, AIR PURIFYING RESPIRATORS, CARTRIDGES, WELDING SUPPLY, ABSORBENTS, FALL PROTECTION, HEAD PROTECTION, HEARING PROTECTION, EYE & FACE PROTECTION, EYE PROTECTION, SAFETY STORAGE, SIGNS & LABELS."
