name_of_firm,trade_name,category,owner,address,city,state,zip,description
"Holmes Mechanical, Inc.",,veteran-owned,Caleb  Holmes,5210 SINCLAIR WAY,BREMERTON,WA,98312-4613,"Provide Plumbing, Mechanical, HVAC,Industrial and Process Piping for New Construction and Renovations."
"RLA ENGINEERING, LLC",,veteran-owned,Raymond Burney Jr,305 SE Chkalov Dr Ste 111-311,VANCOUVER,WA,98683-5292,"Engineering design services firm (non-construction). Our core competencies are in electrical, mechanical, software/firmware design engineering and project management. We provide two services: Managed Services Provider (MSP) and Outsourced Design (OD). Our MSP service augments a client's staff with our assigned on-site engineers, technicians, operators and/or project managers. Our OD service supports a client through the entire product development process via our assigned technical asset team."
Waterside Asset Management LLC,,veteran-owned,Gordon A Guthrie,6314 143rd Pl Se,Snohomish,WA,98296-5252,Providing consulting services for water treatment equipment and products. Training and facilitating the environment for self performing the water treatment program. Providing zero bleed technology for cooling towers
CHAMBERS BAY INSTITUTE LLC,,veteran-owned,James G Solomon,3308 Mountain View Ave W,University Place,WA,98466-3323,"Leadership Coaching/Executive Coaching, 360 Multi-Source Feedback Assessments, Workshops, Leader Development, Customized Consulting Solutions, Global Advisory Services, Organizational Culture Surveys, Leader Development Books"
NAPA VALLEY MINING COMPANY,,veteran-owned,Karry C Friendly,625 101ST PL SE APT C,EVERETT,WA,98208-3968,"We are in the business of Mining Reclamation and Fire Resistance Coatings for all industries. Our products are Fire Resistant Tested for Wood, Cardboard and Metals. Mixed with Enamel Paint to create a Superior Fire Resistant Product. We can be reached at 425-239-2900."
"Working Knowledge CSP, LLC",,veteran-owned,WILLIAM  S. Kaplan,3055 NW DAHLIA DR,CAMAS,WA,98607-7930,"knowledge management consulting, knowledge management training, Knowledge management expertise, strategic and business planning, change management, federal acquisition and procurement expertise, organizational development, process analysis and mapping,"
"Simmons, Rita",Novelle,veteran-owned,Rita Simmons,1047 4th St,Steilacoom,WA,98388-5186,"We provide research and scientific consulting, program management, research support for all phases of research execution. We have expertise in writing proposals, performing project management, proposal management to ensure your organization develops a compliant proposal or grant, scientific and technical writing, statistical analysis, and medical writing. We also conduct strategic planning, company assessments, leadership training, and organizational development activities to assist organizations successfully fulfill their mission goals."
Praxis Analytix LLC,,veteran-owned,James Rollins,28811 71st Ave E,Graham,WA,98338-7949,"Program and Project Management, Training and Exercises (HSEEP Compliant), Modeling and Simulations, Risk Assessments, Business Continuity Management, Business Continuity training, Cyber-security, Information Assurance."
"SKT2, LLC",Kagwerks,veteran-owned,Garett L Schwindel,2815 NW Leadbetter Dr,Camas,WA,98607-8556,"Given the rapid pace of technology and the ever-changing fight against terrorism, we find it critical that the technology we develop grows and changes commiserate with current operations. As a veteran owned and operated business, having served United States Special Operations Command, we are committed to delivering the highest-caliber product in order to ensure every possible tactical advantage for our soldiers, so that our operators never find themselves in a fair fight.For more information please visit our website at http://www.kagwerks.com."
"AMERICAN ELECTRICAL SERVICES, INC.",,veteran-owned,JEFF MONEY M MONEY,386 S A St,Buckley,WA,98321-0000,Electrical Contractor
Lice Girls LLC,,veteran-owned,nathan hagman,9576 Ridgetop Blvd Nw Ste L103,Silverdale,WA,98383-8554,"Provider of non toxic lice treatment products and services. We provide training to school nurses, daycare providers and tribal family services as well as education to parents and healthcare providers regarding lice prevention and treatment. We offer Safe and effective over the counter Lice treatment products as well as in clinic treatment with an FDA cleared Medical device."
James Dean Construction Incorporated,,veteran-owned,JAMES Dean,579 HWY 141,White Salmon,WA,98672-8324,"ROAD CONSTRUCTION, SITE DEVELOPMENT, LAND CLEARING AND UNDERGROUND UTILITIES."
"ENTCO INTERNATIONAL, INC",,veteran-owned,Terry L Quick,15913 20TH PL W,LYNNWOOD,WA,98087-2531,1. Conferences-International 2. Trade Shows-North America 3. Hotel & Venue Selection-North America 4. Event Production-International   a) Entertainment   b) Speakers 5. Destination Management-Northwest
SEATTLE AUTOMATION LLC,,veteran-owned,Kerreth J Williams,2003 M AVE,ANACORTES,WA,98221-3721,Industrial instrumentation services Industrial process automation services Industrial process controls services Industrial process analyzer services
Gregory Drilling Incorporated,,veteran-owned,Chad N Gregory,14112 452ND AVE SE,NORTH BEND,WA,98045-9235,"GEOTECHNICAL/ENVIRONMENTAL DRILLING, HQ CORE, HWT CASING ADVANCER, CUTTING DISPOSAL, CONCRETE CORING"
