view,name_of_firm,trade_name,Owner,address,city,state,zip,description
1,"Independent Strategic Management Solutions, Inc.",ISMSolutions,Shirley J Olinger,491 Adair Dr,Richland,WA,99352-8647,"Provides management/technical consulting services to gov't/contractors in environmental clean-up, national security, Dept. of Navy & energy sectors. Focus in environment, safety & health, quality, nuclear safety, engineering, operations, security and command & control."
2,"Glacier Peak Technology, LLC ",EVOLUCID SOFTWARE ,LIN C FELTON,"2612 Nw 201st Street, DP-1",Shoreline,WA,98177-2465,"Microprocessor, microelectronic system design and engineering, embedded system software and custom embedded software."
3,"Jabez Holdings, Inc. ",Jabez Construction/st Fabrication ,Jesse T Cherian,13322 142nd Ave E,Orting,WA,98360-9560,"General contractor, 8(a), SDB, DBE with proven expertise in design build construction projects, AISC certified fabrication, erection, quality construction services to federal, military, and private projects in WA, HI, AK, and Guam for more than 30 years."
4,Alliance Property Services LLC,,VICTOR K. VALENZUELA,7018 TACOMA MALL BLVD SUITE 202,TACOMA,WA,98409-6641,"Grounds Maintenance, property maintenance, Janitorial Services, facilities (except computer operations) support services, site grading, site development, site utilities"
5,BiSOFT Consultancy Services LLC,Bisoft,PRIYADHARSHINI BALAJI,16310 NE 80th St Ste 104,Redmond,WA,98052-3861,"IT CONSULTING COMPANY SPECIALIZED in IT SERVICES & STAFFING FOR DESIGN, DEVELOPMENT, TESTING, MAINTENANCE, SUPPORT OF WEBSITEs, WEB TECHNOLOGIES & APPLICATION SOFTWAREs. SEO, E-COMMERCE PRODUCT DEVELOPMENT. CUSTOMIZED APPLICATION DEVELOPMENT OF MAINFRAME AND OPEN SYSTEMS. OPTIONAL COST EFFECTIVE ONSITE-OFFSHORE MODEL."
6,MARINA PEIRANO LLC,Peirano Consulting,Marina F Peirano,109 John St Apt 208,Seattle,WA,98109-4919,Digital creative firm that helps clients create and launch new products and services.
7,"Silver Mountain Construction, LLC",,Brent Brooks,801 6TH ST,BREMERTON,WA,98337-1439,"Silver Mountain Construction (SMC) is an 8(a) certified small business that provides comprehensive construction services for commercial, military, and government customers. SMC provides decontamination/disinfection services as well as General Contracting and subcontracting services, capable of self-performing carpentry, civil, fire protection, electrical, and mechanical, as well as extensive past performance with Petroleum, Oil and Lubricants (POL) and fuels projects. SMC's qualifications are best reflected in our current and ongoing indefinite delivery/indefinite quantity (IDIQ) contracts and our competitively bid projects. Excellent past performance for the U.S. Air Force, U.S. Army, U.S. Army Corps of Engineers, U.S. Coast Guard, U.S. Fish and Wildlife, U.S. Department of Veterans Affairs is testament to our capabilities and outstanding service we provide. SMC is a low risk small business with large business processes, procedures, and infrastructure with a current EMR of 0.76."
8,Cherokee General Corporation,,William Line,3450 S 344th Way Ste 100,Federal Way,WA,98001-5931,"Cherokee General Corporation's experience includes new construction, heavy civil, Design-Build, renovations, HVAC, environmental services, surveying and general engineering. Cherokee was named the 2003 “National 8(a) Small Business of the Year.”"
9,Cyborg Mobile LLC,Cyborg Mobile,Kobie Hatcher,15 S Grady Way Ste 423,Renton,WA,98057-3219,We are a Minority-owned technology and management consultancy founded in 2009. We lead from ideation to implementation scaling new and existing programs/projects in short timeframes. Our Change Leadership approach has proven successful across industry verticals to help our clients succeed in delivering accelerated strategic outcomes for sustainable change. We pride ourselves on delivering the best results and increased productivity for our clients’ businesses.
10,"INNES SR, SHANE",INNES WOOD PRODUCTS,SHANE  C INNES SR,339 SAN POIL HOMES,KELLER,WA,99140-0000,"Felling,Thinning,Slashing,Lop & Scatter,Piling, Pruning,Fuel Reduction/Sanitation,Fence Building,Forest trails maintenance,Tree/Native plants/Shrubs planting,River banks stabilization,Fire Handlines,Wildland Firefighting,Prescribed burning,Fire Rehab"
11,"ORDONEZ, RITA",,Rita Ordonez,123 S 9TH ST,MOUNT VERNON,WA,98274-4005,
12,"Certified Calibration Service, LLC",CCS Calibrations and Validations,INEKE Wolff,917 Industry Dr,Tukwila,WA,98188-3413,"Calibration and Validation. Temperature,Humidity, Pressure,Vacuum,Analytical,Dimensional Calibrations.Thermal Mapping. Temperature Uniformity Surveys. IQ,OQ,PQ environmental chamber qualifications. Thermocouple sensor sales and calibration"
