View,Name of Firm,Trade Name,unknown,unknown,Address,City,State,Zip,Capabilities Narrative
1,"Holmes Mechanical, Inc.",,Caleb  Holmes,,5210 SINCLAIR WAY,BREMERTON,WA,98312-4613,"Provide Plumbing, Mechanical, HVAC,Industrial and Process Piping for New Construction and Renovations."
2,"RLA ENGINEERING, LLC",,Raymond Burney Jr,,305 SE Chkalov Dr Ste 111-311,VANCOUVER,WA,98683-5292,"Engineering design services firm (non-construction). Our core competencies are in electrical, mechanical, software/firmware design engineering and project management. We provide two services: Managed Services Provider (MSP) and Outsourced Design (OD). Our MSP service augments a client's staff with our assigned on-site engineers, technicians, operators and/or project managers. Our OD service supports a client through the entire product development process via our assigned technical asset team."
3,Waterside Asset Management LLC,,Gordon A Guthrie,,6314 143rd Pl Se,Snohomish,WA,98296-5252,Providing consulting services for water treatment equipment and products. Training and facilitating the environment for self performing the water treatment program. Providing zero bleed technology for cooling towers
4,CHAMBERS BAY INSTITUTE LLC,,James G Solomon,,3308 Mountain View Ave W,University Place,WA,98466-3323,"Leadership Coaching/Executive Coaching, 360 Multi-Source Feedback Assessments, Workshops, Leader Development, Customized Consulting Solutions, Global Advisory Services, Organizational Culture Surveys, Leader Development Books"
5,NAPA VALLEY MINING COMPANY,,Karry C Friendly,,625 101ST PL SE APT C,EVERETT,WA,98208-3968,"We are in the business of Mining Reclamation and Fire Resistance Coatings for all industries. Our products are Fire Resistant Tested for Wood, Cardboard and Metals. Mixed with Enamel Paint to create a Superior Fire Resistant Product. We can be reached at 425-239-2900."
6,"Working Knowledge CSP, LLC",,WILLIAM  S. Kaplan,,3055 NW DAHLIA DR,CAMAS,WA,98607-7930,"knowledge management consulting, knowledge management training, Knowledge management expertise, strategic and business planning, change management, federal acquisition and procurement expertise, organizational development, process analysis and mapping,"
7,"Simmons, Rita",Novelle,Rita Simmons,,1047 4th St,Steilacoom,WA,98388-5186,"We provide research and scientific consulting, program management, research support for all phases of research execution. We have expertise in writing proposals, performing project management, proposal management to ensure your organization develops a compliant proposal or grant, scientific and technical writing, statistical analysis, and medical writing. We also conduct strategic planning, company assessments, leadership training, and organizational development activities to assist organizations successfully fulfill their mission goals."
8,Praxis Analytix LLC,,James Rollins,,28811 71st Ave E,Graham,WA,98338-7949,"Program and Project Management, Training and Exercises (HSEEP Compliant), Modeling and Simulations, Risk Assessments, Business Continuity Management, Business Continuity training, Cyber-security, Information Assurance."
9,"SKT2, LLC",Kagwerks,Garett L Schwindel,,2815 NW Leadbetter Dr,Camas,WA,98607-8556,"Given the rapid pace of technology and the ever-changing fight against terrorism, we find it critical that the technology we develop grows and changes commiserate with current operations. As a veteran owned and operated business, having served United States Special Operations Command, we are committed to delivering the highest-caliber product in order to ensure every possible tactical advantage for our soldiers, so that our operators never find themselves in a fair fight.For more information please visit our website at http://www.kagwerks.com."
10,"AMERICAN ELECTRICAL SERVICES, INC.",,JEFF MONEY M MONEY,,386 S A St,Buckley,WA,98321-0000,Electrical Contractor
11,Lice Girls LLC,,nathan hagman,,9576 Ridgetop Blvd Nw Ste L103,Silverdale,WA,98383-8554,"Provider of non toxic lice treatment products and services. We provide training to school nurses, daycare providers and tribal family services as well as education to parents and healthcare providers regarding lice prevention and treatment. We offer Safe and effective over the counter Lice treatment products as well as in clinic treatment with an FDA cleared Medical device."
12,James Dean Construction Incorporated,,JAMES Dean,OWNER,579 HWY 141,White Salmon,WA,98672-8324,"ROAD CONSTRUCTION, SITE DEVELOPMENT, LAND CLEARING AND UNDERGROUND UTILITIES."
13,"ENTCO INTERNATIONAL, INC",,Terry L Quick,,15913 20TH PL W,LYNNWOOD,WA,98087-2531,1. Conferences-International 2. Trade Shows-North America 3. Hotel & Venue Selection-North America 4. Event Production-International   a) Entertainment   b) Speakers 5. Destination Management-Northwest
14,SEATTLE AUTOMATION LLC,,Kerreth J Williams,,2003 M AVE,ANACORTES,WA,98221-3721,Industrial instrumentation services Industrial process automation services Industrial process controls services Industrial process analyzer services
15,Gregory Drilling Incorporated,,Chad N Gregory,PRESIDENT,14112 452ND AVE SE,NORTH BEND,WA,98045-9235,"GEOTECHNICAL/ENVIRONMENTAL DRILLING, HQ CORE, HWT CASING ADVANCER, CUTTING DISPOSAL, CONCRETE CORING"
16,J AND S LOGISTICS LLC,,Damion E Jiles Sr,,16506 NE 14TH AVE,RIDGEFIELD,WA,98642-5641,"We offer janitorial services for your space, regardless of the size. We use eco-friendly (green) products that are non-toxic and safe for the environment. Our professional staff is properly trained to provide the customer with a level of service that is second to none. We do not work for a time, we work to a standard; leaving your space looking as if it were brand new. • Specializing in COVID-19 disinfecting and cleaning services • Provides top notch janitorial services using eco-friendly products • Disinfecting products are non-toxic, dries clean and leaves no odor • Properly trained in the application of COVID-19 disinfectant • Uses proper PPE when applicable  Areas of Expertise • We can provide all areas of needed services • Can provide on-going COVID-19 sanitization services • Can provide a one time deep clean of all work spaces or routine cleaning • partners with vendors necessary to complete any job • Servicing WA and OR"
17,Teras Construction LLC,,Christopher Beck,,4516 176th Street East,Tacoma,WA,98402-2809,"General Construction  _  Alliance Steel Fabrication (Partnership) -  Alliance Steel Erection (Partnership) -  Innovative Green Building Solutions, (Licensed Installer) -  Customer Asset Management Plan"
18,"G. H. B. Construction Services of Washington, Inc.",,George Brewer,,12356 Northup Way Suite 102,Bellevue,WA,98005-1956,"Service exterior facade of buildings: Caulking, Sealing, Window Cleaning, Pressure Washing, Lead Repairs, ROof Anchor Inspections"
19,HAPLOOS Inc,,Josh Arritola,,203 N Washington Ste 200,SPOKANE,WA,99201-0254,"Core Competencies Haploos, Inc. enables management to analyze, design and implement management systems improvements to deliver mission execution and operational excellence at the highest level to ensure that the Department meets its mission. Services • Leadership Development • Change & Innovation Management • Training & Curriculum Development • Coaching drive performance, change and innovations • Business Process Re-engineering (BPR) • Safety Environmental Management Systems (Offshore Regulatory Programs) • Maintenance & Operations Management  Past Performance Haploos’ with some of the world’s leading oil & gas and utility companies. Three most recent: British Petroleum - the world’s 6th largest oil company, $358 billion dollars in revenue Transalta Utilities - leading Canadian utility, $2.8 billion in revenue Husky Energy - Canada’s third largest integrated oil company, $27 billion in revenue"
20,Blue Mountain Mechanical Inc ,,STEVE  Watson,,9227 Blue Mountain Ln SW Ste A,Olympia,WA,98512-7680,"Blue Mountain is capable of working single projects up to $4,000,000 and aggregate of projects up to $ 10,000,000."
21,USVET LLC,,Chris D Nicholls D Nicholls,,18101 Butler Rd,Snohomish,WA,98290-6359,"Since 1969, USVET has been providing site development and excavating services to the greater Northwest.By maintaining our status as a small but can provide the most affordable prices to our customers. For More information, please visit our website at http://www.usvetllc.org,"
22,Sustainable-Takisaki JV,,Dana N Pittman,,5009 Pacific Hwy E Ste 7,Fife,WA,98424-3431,
23,INDIGO AEROSPACE LLC,,Richard Lewis,,6420 329th Ave NE,Carnation,WA,98014-6409,"Administrative, logistics and engineering consulting in the aerospace and nuclear industries concentrating on DoD, DoE and Intelligence Community solutions. A female, service-disabled veteran owned small business."
24,Abbey Road Group Land Development Services Company LLC,,Giles F Hulsmann,,2102 E Main Ste 109,Puyallup,WA,98372-3205,"Provides innovative and realistic solutions with a broad range of skills for land development projects including project management, land planning, engineering, survey, construction services, development design services, land development consulting, etc."
