View,Name of Firm,Trade Name,unknown,unknown,"Address, line 1",City,State,Zip,Capabilities Narrative
1,"CAPETOWN-RIO, INC.",,Katherine Green,,6748 161ST AVE SE UNIT B,BELLEVUE,WA,98006-5428,"Capetown-Rio is a women-owned business. We specialize in Microsoft products. From Office365, Azure, Skype for Business, to SfB Cloud PBX and VOICE, most of our projects use our deep expertise is Skype for Business. As a Microsoft preferred vendor and preferred government agency, we manage short and long term solutions. Capetown-Rio’s experts build frameworks, integrated campaigns, and programs."
2,"ORDONEZ, RITA",,Rita Ordonez,,123 S 9TH ST,MOUNT VERNON,WA,98274-4005,
3,TeamEHR Inc.,,Joan Melendez,,125 E. Lynn Street Ste 204,Seattle,WA,98102-3291,"TeamEHR improves surgical safety and lowers costs by automating data collection and record-keeping, blocking the use of recalled and expired products, ensuring chain of custody, streamlining informatics workflows, and meeting MU3 requirements. Cerner Certified SurgiNet Specialist and Anesthesia expert with PathNet, PharmNet, FirstNet, CareNet, Meds Admin, Scheduling and Charge Services specialties."
4,"Da Ross, Jami Lynn",Jetta Tool & Fab,Anthony D Ross,,2103 S Coulee Vista Dr,Kennewick,WA,99338-4514,Precision/close tolerance Tool & Die designing & manufacturing with stamping capabilities. Designing & fabrication of special machines for assembly and inspection; manual and pneumatic operation.
5,"ErgoFit Consulting, Inc ",,Deborah Read,President,5231 SW Stevens St Ste B,Seattle,WA,98116-2946,"Specializing in laboratory, heavy industry, the trades, & office settings,our services include Lean Ergonomic Risk Assessments, Observational Ergonomic Assessments, Job Analysis, Ergonomics Training, Functional Fitness & Stretching Programs."
6,HI MARK CONSTRUCTION INC. ,,MICHELLE R WATERMAN,,782 Quarter Moon Terrace,Camano Island,WA,98292-6699,Commercial and residential new and remodel construction. Quality construction with great customer service.
7,"NORTHWEST HORSE SOURCE, L.L.C., THE",,Karen M Pickering,,4435 Boblett Rd,Blaine,WA,98230-9711,"The Northwest Horse Source is a monthly, regional all-breed, all-discipline publication and website offering one-stop advertising for today's horse related companies or individuals selling a product or service to horse owners. It's a service to the horse community that educates and informs horse owners on horse care, training, small farm management, and community interaction. Our team includes an amazing editor and writer, awesome graphic designer, web and social media person, website IT guy and owner who handles sales, marketing and running day to day operations."
8,SILVER SLICE BAKERY INC,,Tonyia L Smith,,2310 A St,Tacoma,WA,98402-2912,"We are a minority-women owned bakery specializing in gluten-free baked goods and offer dairy-free, sugar-free, vegan and organic non-gmo options. Breads, pastries, desserts for retail and wholesale based."
9,KEN MILLER ENTERPRISES INC,,MARCIE  MILLER,President,3555 LARKIN RD,GRAYLAND,WA,98547-9746,"Excavation, Leveling, Grading, Dumptrucking, Small Demolition"
10,"Childress Nursing Services, LLC",CNS Government Services,Quiana Childress,,1015 Blaine Ave NE Unit A,Renton,WA,98056-8722,"CNS is focused on bringing a level of passion generally associated with works of art to all phases of our business partnerships while completing projects efficiently, safely, and within budget. By approaching each project with the mindset that there is no such thing as a small detail, all aspects of any project with which we are associated are taken into consideration to ensure project excellence and completion. As a WA state licensed medical testing site, we specialize in providing Covid-19 testing and health screening for businesses and government entities. Being uniquely licensed as a home health care, we can also provide point-of-care testing to clients in their homes and superior quality nurse staffing for government testing sites. Safety compliance. WOSB, EDWOSB, Minority-owned"
11,S.E.A. CONSTRUCTION LLC,,JOELLE  BUCKMAN,,53 ELK CREEK RD,RAYMOND,WA,98577-9214,"Heavy civil construction, dump trucking"
12,BAG LADY INC,,VIOLA  C Malone,President/Owner,11124 VALLEY AVE E,PUYALLUP,WA,98372-2658,"Erosion control; pipeline sandbagging; fencing: silt, buffer, construction; dikes; mulching/top soil; seeding/planting; manufacturing/sales of the MeggaBagger Sandbagging machine; sandbag supplier - empty/full"
13,"Cascade Gasket & Manufacturing Co., Inc.",,Kenny Hubach,,1820 W Valley Hwy N,Auburn,WA,98001-1645,"We specialize in non-metallic aerospace seals, gaskets and clamp blocks. Parts are fabricated using injection and compression molding, gasket cut and 5-axis water jet cutting."
14,"Han Joe Ro, LLC",Comfort Inn,CHAMI J RO,,1620 74th Ave SW,Tumwater,WA,98501-5751,"Lodging, hotel, motel, inn., per diem, Meeting room, training facility, conference, break out session, banquet room/hall/facility leasing or rental."
15,Global-PacificTech JV 2,,ANGELA SOWELL,,3111 Columbia Heights Rd.,Longview,WA,98632-5626,"8(a), SDB, Native American owned, Joint Venture, SBA approved Mentor Protege, general contracting firm. Strengths include new construction, renovations, mechanical, HVAC, roofing, concrete, design build."
